文档ID,簇编号,原文片段（分词行）
762,1,财经 国海 富兰克林 万元 自购 旗下 本报讯 国海 富兰克林 基金 管理 有限公司 公告 运用 公司 自有 资金 投资 旗下 富兰克林 国海 强化 收益 债券...
763,3,体育 菩萨低眉 石佛 单节 马刺 找回 NBA 季后赛 首轮 继续 西区 焦点 战役 圣安东尼奥 马刺 主场 加时赛 击败 孟菲斯 总比分 扳成 马刺 核心 邓...
764,0,科技 mm 超广角 变焦镜头 松下 LX3 作者 宋心杰 LX3GK 镜头 变焦 2.5 mm 广角镜头 LX 首次 比起 产品 镜头 广角端 开阔 3.0 英...
765,1,财经 封闭 基金 折扣率 部分 基金 年度 分红 刺激 封闭式 基金 板块 一个月 抢眼 整体 折价率 小幅 下降 统计数据 显示 截至 四只 封基 实施 公布...
766,4,游戏 天问 online 回忆 感动 闪过 树影 耳机 手机 熟悉 音乐 离开 家乡 去向 工作 城市 回想 春节假期 回忆 事情 工作 两年 回家 第一次 车...
767,0,科技 视频 直播 功能 iriverP7 作者 毛晓曼 iriver P7 延续 产品 简单 时尚 外形 设计 个性化 操作 UI 加入 RMVB 视频 直播 ...
768,5,娱乐 奥斯卡 主持人 首张 宣传照 发布 娱乐 北京 北美 两周 举行 奥斯卡 颁奖典礼 发布 主持人 Hugh Jackman 宣传照 参加 奥斯卡 颁奖 嘉...
769,1,财经 私募 基金 亏损 三成 财经网 深圳 专稿 符燕艳 私募 基金 整体 收益 为负 32.86 投资 企业 业绩 下滑 比例 六只 私募 基金 实现 收益 ...
770,4,游戏 手机 网游 时空 OL 双倍 经验 免费 洗点 时空 删档 内测 大量 钟情 爽快 PK 协同作战 玩家 过瘾 活动 开展 游戏 新手 冲级 最高 冲级 ...
771,1,财经 成立 三个 多月 金鹰 红利 分红 王慧娟 月份 成立 金鹰 红利 价值 基金 分出 成立 第一桶金 基金 截至 分配 收益 基准 基金 份额 派发 红利...
772,0,科技 打造 超薄 机身 纽曼 Super Card 作者 毛晓曼 升级版 纽曼 Super Card 增加 RMVB 视频 直播 功能 保持 6.5 mm 超薄...
773,1,财经 基金 通乾 分红 分红 封闭式 基金 陷入 困局 前提 融通 旗下 封闭式 基金 通乾 分红 分红 转变 显示 基金 公司 暧昧 分红 规则 混沌 冯庆汇...
774,4,游戏 d 网游 赤壁 新区 手机 mp4 充值卡 传统节日 愚人节 信息 d 赤壁 OL 大家 打来 惊喜 一点 不会 愚人节 愚人 带来 开心 d 赤壁 OL...
775,0,科技 高清 播放器 爱国者 MP5909HD 作者 毛晓曼 爱国者 MP5909HD 4.3 英寸 屏幕 支持 高清 播放 产品 售价 GB 容量 兴趣 朋友 ...
776,1,财经 基金 交易 佣金 基金 支付 券商 交易 佣金 格局 年度 很大 变化 挤入 中金公司 券商 佣金 分仓 第一名 多年 申银万国 证券 行业 翘楚 中信证...
777,1,财经 基金 公司 资产 质量 现形 规模 接近 管理费 一倍 巩万龙 发自 深圳 得益于 基金 发行 固定 收益 产品 基金 公司 熊市 管理费 实现 增长 有...
778,3,体育 大牌 自由 球星 姚明 减薪 北京 姚明 巴蒂尔 海耶斯 火箭队 火箭队 球员 共同点 今年夏天 自由 球员 篮圈 世界 专栏作家 汤姆 自由 球员 市场...
779,0,科技 锁住 爱情 爱国者 PM5927 作者 曹锐 爱国者 PM5927 四种 外观 颜色 机身 别致 月牙 镶嵌 设计 配备 独特 月牙 爱情 密钥 密钥 嵌...
780,5,娱乐 电影版 铁臂 阿童木 确定 北美 公映 附图 娱乐 备受 期待 CG 动画电影 铁臂 阿童木 Astro Boy 北美 公映 确定 美国 负责 发行 制作...
781,5,娱乐 广末凉子 加盟 悬疑 推理 新片 焦点 娱乐 北京 日本 媒体报道 离婚 广末凉子 事业 回到 高峰 受邀 主演 日本 知名 推理 小说家 松本 清张 代...
782,4,游戏 侠义 OL 新服 起航 是否 想要 疲倦 停靠 港湾 一群 来自 天南地北 朋友 扶持 共谋 生存 帮派 最好 选择 江湖 相交 厮杀 风云 笑傲江湖 惬...
783,3,体育 皇帝 领衔 入选 现役 纪录 北京 NBA 官方 公布 常规赛 三队 名单 詹姆斯 凯文 杜兰特 德怀特 霍华德 罗斯 领衔 一队 皇帝 第一 选票 成绩...
784,1,财经 基金 开户数 回落 四成 中登 公司 公布 数据 显示 基金 开户数 3.2432 万户 回落 超过 四成 基金 单周 开户数 最低 一周 市场 暖风 基...
785,5,娱乐 柏林 电影节 官网 电影节 开幕 华丽 娱乐 北京 柏林 电影节 官网 众星 云集 动作 跨国 银行 The International 全球 首映 宣告...
786,2,体育 首场 湖人 胜出 概率 四成 洛城 小牛 先机 小牛 客场 拿下 系列赛 第一场 胜利 系列赛 胜利 好头 七场 四胜 七番 大战 击败 湖人 击败 禅师...
787,1,财经 基金 产品 交易所 革命 方便 申购 降低 费率 套利 机会 袁京力 酝酿 交易 结算 体系 证券 交易所 基金 账户 基金 持有人 费用 效率 申购 赎...
788,0,科技 热门 专业级 小巧 DC 佳能 S90 套装 作者 张跃 佳能 PowerShot S90 具有 能够 放入 衬衫 口袋 小巧 机身 搭载 旗舰 机型 P...
789,3,体育 绿军 出局 久盼 喜讯 继续 绿军 一场 比赛 足够 改变 决定 激情 充溢 止不住 大幕 落下 投以 留恋 目光 波士顿 客场 负于 热火 总比分 淘汰...
790,0,科技 时尚 家用 卡片 DC 佳能 IXUS120 带票 作者 芦晓峰 IXUS IS 不锈钢 机身 设计 时尚 冷艳 深邃 宁静 华丽 四种 充满 都市 情绪...
791,0,科技 光学 变焦 潜望 镜头 尼康 S70 外观 上看 尼康 S70 三围 尺寸 96.5 60.5 mm 造型 纤薄 触摸 显示屏 寒冷 按键 操作 方便 画...
792,5,娱乐 印度 片片 发音 接近 哈利 波特 起诉 娱乐 制作 电影 片名 哈利 波特 同音 印度 电影 公司 华纳 兄弟 公司 起诉 事情 起因 印度 孟买 一家...
793,0,科技 高端 单反相机 佳能 D 带票 套机 售价 作者 陈亮 EOS D 实现 了在 有效 像素 高画质 高达 连拍 速度 搭载 智能 自动 对焦 系统 众多 ...
794,0,科技 光变 镜头 佳能 IXUS200IS 点评 卡片机 2.3 英寸 像素 CCD 支持 p FPS 高清 摄像 支持 IS 防抖 IXUS 搭载 mm 五倍...
795,4,游戏 诸神 新服 光石 开启 春回燕 诛神 online 受到 众多 玩家 喜爱 支持 火爆 手游 能够 玩家 加入 诛神 online 玄幻 世界 开启 服务...
796,5,娱乐 爱子 右翼 分子 恐吓 酒井法子 辞演 梦墙 连续 合拍 电影 梦墙 引起 很多 读者 关注 波折 全部 准备 工作 就绪 不料 遇到 难题 日本 右翼 ...
797,4,游戏 禁地 完整 评测 游戏 名称 禁地 游戏 语言 中文 游戏 提供商 上海 网络通讯 科技 有限公司 游戏 类型 角色扮演 游戏 KB 游戏 版本 1.0....
798,5,娱乐 外滩 画报 入殓 死亡 亲密 交流 木雅弘 红地毯 解释 飞机 晚点 希望 看上去 疲惫 职业 闪光灯 微笑 直觉 蛮好 专访 个人 两个 量级 不能 木...
799,4,游戏 手游 用户 付费 意愿 成受 关注 行业 G 移动 互联网 兴起 手机游戏 行业 风生水 易观 国际 发布 报告 显示 中国 移动 互联网 市场 规模 亿...
800,0,科技 像素 VGA 液晶屏 理光 GRDIII 作者 陈亮 镜头 下功夫 理光 GRDIII 传感器 前作 GRDII 类似 1.7 英寸 像素 级别 CCD ...
801,2,体育 湖人 传言 内线 妻子 恨卡戴 湖人 总比分 小牛 横扫 出局 湖人 传言 加索尔 不和 队友 缺乏 信任 不满 队友 状态 球队 面临 重建 湖人 负面...
802,1,财经 信达 澳银 稳定 价值 成立 11.4 全景网 日讯 信达 澳银 基金 公告 旗下 信达 澳银 稳定 价值 债券 型基金 成立 募集 总额 11.4 亿元...
803,1,财经 分析师 基金 股市 资金面 支持 有限 李娜 发自 上海 广大 基民 演绎 时代 市场 基金 流行 基金 规模 回暖 基金 股市 造血 功能 回归 市场 ...
804,0,科技 余音绕梁 天籁 纽曼 纯音乐 B30 热卖 音质 小屏 纯音乐 MP3 备受 追捧 纽曼 纯音乐 MP3 B30 上市 伊始 广受 好评 天籁 音质 余音...
805,3,体育 洛瑞休 闲不住 莫雷派 钢炮 出席 乐透 顺位 抽签 北京 NBA 选秀 乐透 顺位 抽签 NBA 季后赛 焦点 注定 选秀 状元 归属 不会 选秀 吸引...
806,0,科技 炫彩 时尚 纯音乐 MP3 昂达 VX333 VX515 VX313 VX323 型号 纯音乐 MP3 带来 纯音乐 机型 昂达 VX333 低调 风格 ...
807,5,娱乐 李安 新片 伍德斯 美媒体 看好 娱乐 北京 台湾 媒体报道 影展 大赢家 李安 影后 伊美妲 史坦顿 阔别 合作 制造 伍德斯 音乐节 Taking W...
808,0,科技 高清 摄像 光变 索尼 H20 搭配 中关村 数码相机 行情 索尼 H20 千万 像素 成像 能力 配备 一枚 十倍 光学 变焦镜头 具备 光学 防抖 功...
809,0,科技 光学 变焦镜头 佳能 IXUS120 佳能 IXUS IS 延续 了前 IXUS IS 时尚 超薄 外观设计 镜头 升级 机身 厚度 IXUS IS 1....
810,3,体育 控股 黄蜂 球市 季票 销量 北京 所有权 转让 球队 迁址 劳资 协议 不确定性 围绕 黄蜂队 抵挡 城市 球迷 球队 支持率 提高 美联社 黄蜂 统计...
811,5,娱乐 圣丹斯 渐入 高潮 明星 主演 电影 首映 娱乐 美国 圣丹斯 国际 电影节 第五天 开展 备受 关注 热门 电影 亮相 中国 导演 张元 blog 凯瑞...
812,0,科技 潮流 时尚 家用 DC 佳能 IXUS100IS 佳能 伊克 萨斯 性能 外观 并重 一点 佳能 IXUS IS 超薄 机身 厚度 18.4 mm 外形尺...
813,1,财经 基金 经理 叫板 经济学家 宏观 数据 换手率 成交额 重要 增长 指标 GDP 6.1 6.3 投资 28.8 26.5 消费 15.0 14.5 理财...
814,5,娱乐 专访 梦工厂 CEO 卡赞 伯格 中国 市场 娱乐 梦工厂 CEO 卡赞 伯格 怪兽 大战 外星人 配音演员 观众 熟识 小时 男主角 基弗 萨瑟兰 一起...
815,4,游戏 伏龙 奇侠传 传奇 特点 揭秘 伏龙 奇侠传 传奇 精品 动作 角色扮演 游戏 寻常 角色扮演 手游 不同 独特 游戏 风格 糅合 战斗 侦探 解谜 精彩...
816,5,娱乐 忍者神龟 真人 结合 电脑 动画 制作 娱乐 忍者神龟 Teenage Mutant Ninja Turtles 凯文 Kevin Eastman 和皮特...
817,0,科技 轻薄 入门 卡片 富士 J26 山东 IT 富士 J26 商家 济南 北星 数码 售价 G 存储卡 富士 J26 继承 富士 J 家用 低价 优势 千万 ...
818,3,体育 调查 公牛 淘汰 老鹰 决赛 热火 相遇 北京 公牛 客场 击败 老鹰 晋级 决赛 大战 巨头 领衔 热火 公牛 淘汰 老鹰 决赛 热火 相遇...
819,3,体育 雷霆 板凳 上藏 节拍器 控卫 效率 惊人 热火 詹姆斯 打败 激动 落泪 遥远 俄克拉荷马 詹姆斯 詹姆斯 雷霆 队里 重要 第六 大胡子 球员 看上去...
820,3,体育 皇帝 关键 疑似 走步 上篮 绝杀 一幕 重现 视频 北京 热火 客场 力克 系列赛 取得 领先 比赛 争议 最大 一幕 第四节 时刻 詹姆斯 疑似 走步...
821,4,游戏 明珠 幻想 世界大战 阵营 系统 上线 明珠 幻想 资料片 世界大战 全面 开启 玩家 展现 魔幻 手机 网游 独特 魅力 资料片 展现 庞大 阵营 系统...
822,5,娱乐 吕克 贝松 携手 韩方 投资 秦始皇 计划 娱乐 法国 导演 吕克 贝松 两家 法国 公司 一起 参与 秦始皇 计划 剧本 改编 工作 历史 悬疑 影片 ...
823,0,科技 闪存 DV 促销 佳能 FS200 带票 购买 佳能 FS200 数码 摄像机 参加 换购 活动 专业 镜头 佳能 原厂 锂电池 BP 品胜 充电 套装 ...
824,3,体育 老鹰 vs 公牛 两队 沿用 上场 阵容 关键 北京 公牛 主场 迎来 老鹰 半决赛 两队 比赛 战成 本场 不容 有失 好消息 两队 人员 齐整 老鹰 ...
825,4,游戏 女儿国 OL 攻略 帮派 系统 帮派 开启 帮派 提供 竞技 交流 平台 成立 强大 帮派 帮派 系统 有所 了解 帮派 分为 四级 玩家 帮派 建设 提...
826,1,财经 基金 专户 首次 现身 流通股 股东 名单 安仲文 联手 基金 公司 旗下 公募 基金 入驻 ST 神秘 基金 专户 理财 露出 基金 专户 理财 入市 ...
827,1,财经 五洲 交通 华夏 基金 买入 万股 宋元东 股东 名单 季报 披露 提前 曝光 经济 知名 华夏 基金 管理 公司 旗下 三只 基金 潜入 五洲 交通 买...
828,4,娱乐 艺术 指导 工会 奖提名 揭晓 朗读 革命 出局 新浪网 独家 稿件 转载 注明 出处...
829,4,游戏 手机 网游 豪侠 手机 网游 豪侠 精彩 登陆 游戏 价值 元宝 道具 奖励 中国 画面 精美 装备 外观 炫丽 技能 特效 高贵 坐骑 造型 丰富 帮派...
830,1,财经 布局 基金 沙场 大点 编者按 上证综指 上涨 成交量 超过 万亿 放大 A股 市场 迎来 梦幻 开局 部分 基金 享受 开局 最好 基金 收益率 超过 ...
831,5,娱乐 柏林 电影节 揭幕 金融危机 唱主角 揭幕 柏林 电影节 影片 发出 探讨 经济 前景 信号 翻看 一下 影片 演员 彰显 危机 本色 症状 世界 经济 ...
832,4,游戏 手机 网游 文明 职业 狙魔 猎手 养成 身轻如燕 沉稳 敏锐 义侠 娴熟 冷静 战斗 超高 致命 攻击 闪避 著称 团队 锋利 箭矢 伤害 输出 速度 ...
833,3,体育 绿军 人令 死忠 惊喜 KG 踩足 油门 狂奔 波士顿 战胜 热火 拉简 隆多 主角 扳回 众志成城 攻守 演出 排兵 布阵 变化 道克 浪费 两天 输球...
834,5,娱乐 布鲁斯 索赔 违约 转机 娱乐 北京 美国 媒体报道 好莱坞 老牌 动作 明星 布鲁斯 Bruce Willis 违约 新进展 布鲁斯 代理律师 媒体 三...
835,1,财经 股票 基金 财富 效应 再现 本报讯 敖晓波 市场 回暖 抄底 成功 基金 赚钱 效应 显现 最好 股票 基金 成立 收益 全景网 一项 调查 显示 参与...
836,1,财经 摩根 免去 蔡奋威 董事 职务 章硕麟 履新 全景网 日讯 摩根 基金 公告 公司 董事会 审议 免去 蔡奋威 董事 职务 任命 章硕麟 董事 公告 显示...
837,5,娱乐 量子 危机 票房 上映 两周 吸金 步伐 不减 娱乐 贺岁 大幕 拉开 两周 詹姆斯 加快 吸金 步伐 来自 出品 索尼 哥伦比亚 票房 数据 显示 量子...
838,4,游戏 宝贝 国度 新衣 寒假 来临 噪杂 城市 奔走 朋友 停下 忙碌 脚步 放松 心情 回忆 回到 脑海 记得 衣服 兴奋 心情 衣服 兴奋 好几个 穿出去 ...
839,1,财经 两类 基金 牛据 上海 文汇报 投资者 信心 恢复 基金 发行 回归 火热 状态 基金 面世 仓位 基金 被动 跟踪 大盘 指数 型基金 天相 数据 显示...
840,5,娱乐 朱莉 照片 古人 高跟鞋 旱冰鞋 走路 中新网 台湾 联合报 金奖 名导 克林特 伊斯 特伍德 电影 调包 婴儿 女星 安吉丽娜 朱莉 打造 坚毅 母亲 ...
841,4,游戏 神契 online 职业技能 深度 解析 本年度 首款 魔幻 手机 网游 神契 online 推出 公测 世界 职业 技能 副本 征程 大家 揭开 神秘 ...
842,3,体育 郭士强 解读 打铁 现象 培养 自信 北京 CBA 常规赛 第二十六 继续 辽宁队 主场 击败 佛山 取得 两连胜 辽宁队 优势 赢得 比赛 比赛 过程 ...
843,3,体育 小牛 vs 湖人 前瞻 带伤 先锋 对抗 北京 洛杉矶 湖人队 利用 身高 优势 争取 跻身 决赛 湖人队 迎来 达拉斯小牛队 半决赛 第一场 脚踝 有伤...
844,1,财经 现金 增利 收益 支付 结转 基金 份额 全景网 日讯 基金 公告 公司 旗下 现金 增利 基金 基金 收益 集中 支付 结转 基金 份额 现金 增利 基...
845,4,游戏 手机 网游 文明 职业 血魂 骑士 养成 身背 时髦 外表 身披 铠甲 坦克 不惜 生命 换取 战斗 胜利 血魂 骑士 最好 诠释 鲜血 烈风 激舞 英雄...
846,2,体育 湖人 出局 激活 交易 按钮 霍华德 洛城 北京 比赛 结束 笛声 响起 湖人 几名 球员 一起 拥抱 惨遭 横扫 阴霾 清楚 一刻 拥抱 显得 沉重 身...
847,3,娱乐 百万 金枪 离奇 失窃 经典 道具 垂涎 娱乐 詹姆斯 道具 武器 花样 多多 外形 向来 焦点 影迷 宝物 经典 反派 金枪人 金枪 道具 片场 被盗 ...
848,5,娱乐 福尔摩斯 主角 敲定 罗伯特 唐尼 出演 角斗士 获颁 奥斯卡 主角奖 拉塞尔 接下 了盖 新片 福尔摩斯 暂定名 中将 扮演 神探 夏洛克 福尔摩斯 一...
849,0,科技 具备 光学 变焦 索尼 XR500E 售价 作者 李金昊 北京 行情 索尼 旗舰级 民用 摄像机 XR500E 像素 Exmor R CMOS 影像 传感...
850,0,科技 搭配 镜头 尼康 D5000 套机 带票 不足 六千 中关村 数码相机 行情 尼康 DX 格式 新款 单反相机 D5000 具备 像素 成像 能力 配备 ...
851,5,娱乐 金雅 美女 烦恼 复出 新片 携手 娱乐 韩国 女星 金雅 中将 不久 重返 电影 银幕 携手 出演 金知云 导演 短片 电影 礼物 金雅 美女 烦恼 首...
852,3,体育 勇士 弃帅 甘心 却说 软话 新帅 候选 阿联 恩师 北京 勇士 官网 勇士 火速 宣布 放弃 现任 主帅 基斯 斯马特 服务 金州 斯马特 下课 主帅 ...
853,5,娱乐 梦工厂 转投 印度 宝莱坞 好莱坞 电影 巨头 分手 洛杉矶 美国 影业 梦工厂 发表 宣布 结束 合作 关系 据悉 恢复 自由 梦工厂 印度 一家 娱乐...
854,5,娱乐 音效 剪辑 工会 奖提名 领跑 娱乐 北京 音效 剪辑 工会 The Motion Picture Sound Effects Editors Guild...
855,4,游戏 d 赤壁 OL 十五项 重大 情系 玉树 爱满 人间 d 赤壁 OL 停服 一天 遇难 同胞 默哀 受难 同胞 祈福 例行 推迟 服务器 零点 开启 0....
856,3,体育 罗斯 失准 老鹰 半决赛 首战 爆冷 北京 公牛 主场 不敌 老鹰 季后赛 次轮 落后 失去 主场优势 老鹰 后卫 辛里奇 缺阵 拿下 生涯 季后赛 最高...
857,0,科技 mm 镜头 E520 套机 点评 E 定位 入门 家用 单反相机 具备 Live MOS 影像 传感器 TruePic III 图像处理 引擎 强大 实用...
858,3,体育 战绿军 韦德 制胜因素 闪电侠 角色 改变 北京 主帅 热火 系列赛 对手 X 因素 波什 理由 詹姆斯 德维恩 韦德 基本 预计 无法 预计 龙王 波什...
859,1,财经 长江 超越 理财 灵活 切换 资产 证券时报 朱景锋 长江 超越 理财 长江 证券 发起 设立 管理 FOF 产品 投资 比例 超过 净值 投资 一级 市...
860,2,体育 禅师 呼吁 良性 竞争 仇恨 硝烟 暴力 T恤 北京 提起 第二轮 湖人 对阵 小牛 系列赛 那可真 看点 多多 球场上 两队 缺少 洛杉矶 时报 湖人 ...
861,1,财经 国海 富兰克林 张惟闵 追求 致胜 美国 著名 财经 周刊 巴伦 周刊 公布 全美 基金 家族 排行榜 国海 富兰克林 基金 公司 股东 富兰克林 邓普顿...
862,3,体育 热火 季后赛 净输 对手 斯帅 坚持 不会 调整 北京 季后赛 热火 战绩 成绩 喜人 掩盖 不了 事实 不够 据统计 比赛 热火 输给 对手 五虎 不够...
863,5,娱乐 法国 女主播 电影 大胆 裸露 性感 女神 中新网 台湾 法国电视台 气象 女主播 布尔 跃上 银幕 主演 电影 摩纳哥 女孩 布尔 大胆 裸露 演出 影...
864,1,财经 基金 行业 ETF 重出江湖 证券时报 金融危机 行业 ETF 受欢迎 机构 投资者 希望 透过 行业 ETF 分散 风险 市场 波动 捕捉 时机 大部分...
865,3,体育 湖人 领衔 魔兽 五下家 火箭 大牌 莫雷肯 花钱 北京 首轮 出局 球队 马刺 伤病 老化 理由 魔术 理由 德怀特 霍华德 健康 状态 处于 巅峰 只...
866,3,体育 一场 失利 热火 敲响警钟 季后赛 热火队 季后赛 遇到 艰难 一场 比赛 首轮 输给 人队 比赛 艰难 巨头 进攻 系统 合计 受伤 轮休 比赛 便是 ...
867,3,体育 历史 昭示 热火 晋级 三项 绝路 北京 热火 主场 击败 半决赛 领先 三项 纪录 昭示 热火 利好 德维恩 韦德 詹姆斯 热火 队史 季后赛 领先 全...
868,1,财经 基金 资金 流入 明显 市场 回暖 抄底 成功 基金 赚钱 效应 显现 股票 基金 成立 收益 投资者 关注 重点 全景网 一项 调查 显示 参与 调查 ...
869,1,财经 股票 基金 集体 陷落 永明 投资者 实习 永明 基金 公司 旗下 股票 型基金 业绩 集体 遭遇 滑铁卢 成长 滑落 银河证券 统计 排名 显示 截至 ...
870,4,游戏 女儿国 OL 精英 王者 访谈 访谈 主题 很多 徒弟 幸福 家庭 一群 兄弟 生活 味味 俱全 玩家 介绍 王者 游戏 排名 十分 出色 全部 女儿国 ...
871,0,科技 支持 光学 变焦 索尼 G3 索尼 DSC G3 整体 设计 风格 T 相仿 前面板 金属 面板 3.5 触摸屏 占据 闭合 状态 机身 犹如 尺寸 T ...
872,3,体育 邓肯 封神 实在 霸气 更衣室 毒瘤 波特兰 监狱 开拓者 代表 人物 封神 堪比 横练 霸道 强攻 打爆 马刺 内线 送给 邓肯 个人 职业生涯 西区 ...
873,5,娱乐 末路 雷霆 上映 打造 亚洲 功夫 电影 娱乐 动作片 末路 雷霆 原名 拳戒 全国 上映 担任 蜘蛛侠 替身 明智 越南 章子怡 亚洲 红星 吴青芸 担...
874,0,科技 有效 像素 尼康 D90 套机 外观 尼康 D90 D80 相差 成熟 黑色 机身 大气 专业 覆盖 橡胶 蒙皮 宽大 厚实 手柄 把持 不错 D80 不...
875,1,财经 同门 兄弟 基金 业绩 分化 基金 研究 中心 曾令华 基金 名声 媒体 基民 基金 正名 基金 平均 回报率 23.56 基金 回报率 差异 很大 排名...
876,4,游戏 九州 壮志凌云 九州 online 资料片 风云 再起 开启 服务器 壮志凌云 众多 玩家 不到 小时 新区 呈现 爆满 状态 壮志凌云 开启 受到 玩家...
877,4,游戏 时空 OL 下载 全天 双倍 经验 时空 开放式 注册 终极 压测 开启 客户端 差错 造成 部分 机型 不能 下载 修复 顺畅 游戏 不卡 怪现象 一部...
878,3,体育 调查 评价 热火 客场 胜绿军 总分 赛点 四年 赢球 热火 主场 艰难 战胜 对手 总比分 领先 詹姆斯 拿下 篮板 韦德 篮板 波什 篮板 评价 比赛...
879,3,体育 湖人 揪出 最差 先生 不行 不行 湖人队 季后赛 面对 小牛队 挑战 惜败 球队 本赛季 重金 签下 史蒂夫 布雷克 出战 出手 篮板 抢断 助攻 双方...
880,4,游戏 武林 OL 领略 中华 武侠 真谛 掌上明珠 经典 武侠 题材 手机 网游 武林 OL 火爆 开启 玩家 冲级 热情 高昂 众多 玩家 脱离 新手 阶段 ...
881,0,科技 支持 光学 防抖 功能 尼康 S640 尼康 S640 香槟 宁静 珍珠白 法兰 种颜色 机身 轻薄 时尚 具有 一块 2.7 英寸 像素 TFT LCD...
882,0,科技 无线 MP3 韩国 digifiOpera M7 新品 上市 作者 曹锐 韩国 digifi 推出 无线 MP3 播放器 Opera M7 韩国 上市 无...
883,5,娱乐 好莱坞 一周 综述 影后 战线 成功 综述 国家 评论 协会 揭晓 洛杉矶 纽约 影评人 协会 公布 广播 影评人 协会 金球奖 提名 风向标 次第 行动...
884,0,科技 性价比 G 酷比 魔方 B5 普及版 英寸 酷比 B5 设计 时尚 外观 酷比 B5 做工 手感 尽显 精品 本色 先进 万色 3.0 英寸 分辨率 加入...
885,4,游戏 诸神 副本 BOSS 掉落 详解 国家 玩家 城市 地图 家祠 南蛮 宗祠 副本 提醒 大家 副本 较大 大家 具备 较强 实力 配合 良好 队伍 成功 ...
886,3,体育 倔强 KG 暴扣 翻波 龙王 空位 NBA 季后赛 东区 第二轮 热火 主场 击败 强敌 波士顿 前锋 凯文 加内特 上场 篮板 助攻 抢断 盖帽 进攻 ...
887,1,财经 基金 大象 起舞 坚守 金融 地产 世纪 经济 曹元 操作 一只 基金 操作 一只 基金 基金 操作 深圳 现任 基金 公司 基金 经理 人士 一家 较小...
888,3,体育 公牛 显露 范氏 火箭 错误 罗斯 数据 暴跌 身体 告急 公牛 主场 获胜 老鹰 战成 公牛 赢得 轻松 老鹰 缠斗 公牛 投篮 命中率 不到 四成 3...
889,0,科技 3.3 光学 变焦镜头 佳能 A480 佳能 博秀 A480 外观 书本 形象 设计 机身 书脊 书脊 造型 不乏 可爱 小巧 手部 完美 贴合 有利于 ...
890,0,科技 X光 高清 松下 FZ28 相比 FZ18 松下 FZ28 取景 屏幕 尺寸 扩到 2.7 英寸 像素 视野 率为 百分之百 FZ28 搭载 一枚 2.3...
891,1,财经 股指 强势 基金 称像 吹泡泡 上周末 公布 月份 新增 贷款 数量 1.89 万亿元 市场 解读 经济 转暖 强有力 证据 上证指数 跳高 开盘 一路 ...
892,4,游戏 Novell 展示 iPhone 移植 Xb360 游戏 微软 Windows Phone 一大 卖点 Xbox Live 平台 整合 手机 运行 Xbo...
893,5,娱乐 奥斯卡 两年 收视 最高 ABC 满意 娱乐 北京 尼尔森 公布 电视 数据 统计 显示 观众 收看 奥斯卡 颁奖典礼 奥斯卡 颁奖典礼 上涨 收视率 最...
894,1,财经 基金 钟情 另类 投资 S ST 新能源 周期性 反转 .....2009 伴随 A股 市场 强劲 反弹 概念性 炒作 低价股 题材 概念股 带领 股指 ...
895,5,娱乐 本能 导演 重拾 情色 执导 本能 荷兰 导演 费尔 霍芬 黑皮 未有 新作 问世 传出 费尔 霍芬 洽谈 一部 新作 本能 作品 擅长 情色 费尔 霍芬...
896,4,游戏 准备 封神 ol 礼盒 兑换 超值 豪礼 是否 查阅 背包 截止 封神 ol 上线 免费 礼盒 礼盒 同学 注意 兑换 礼物 饺子 炮竹 情人节 不可 玫...
897,1,财经 景顺 长城 业绩 罪状 遭受 炮轰 全景网 日讯 景顺 长城 基金 颜面扫地 公司 股市 跳水 态度 资本 盛宴 度日 艰难 遭受 投资者 范围 赎回 景...
898,5,娱乐 电影节 主席 宁浩 中国 最好 喜剧 导演 内地 导演 崔健 香港 导演 陈果 韩国 导演 许秦豪 执导 电影 成都 开拍 电影节 主席 马克 穆勒 专程...
899,3,体育 掘金 争议 雷霆 齐赞 杜兰特 KD 第一站 凯文 杜兰特 雷霆 打败 掘金 昂首 晋级 第二轮 霍林格 杜兰特 无解 心脏 投篮 雷霆 逆转 掘金 取得...
900,5,娱乐 歌舞 青春 开拍 主演 狮子 开口 娱乐 迪斯尼 电视 电影 歌舞 青春 二集 转战 银幕 电影 歌舞 青春 毕业 嘉年华 公映 原班人马 埃夫隆 哈金斯...
901,5,娱乐 组图 哈德森 走出 阴影 激情 献唱 娱乐 北京 北美 家人 枪杀 惨剧 消沉 美国 偶像 哈德森 Jennifer Hudson 走出 阴影 献唱 回归...
902,0,科技 X光 高清 摄像 富士 S2000 CCD 位移 光学 防抖 高感光度 结合 带来 多重 防抖 功能 S2000HD 高效 防止 手抖 拍摄 物体 运动 ...
903,5,娱乐 奥斯卡 提振 收视率 颁奖典礼 大胆 冒险 奥斯卡 组织 贝弗利 希尔顿酒店 举行 一场 午宴 本年度 奥斯卡 提名 电影 致意 午宴 承诺 全球 亿万 ...
904,3,体育 隆多 带伤 只能 休息 铁血 精神 注定 载入史册 绿军 没能 阻击 热火 总比分 告别 季后赛 带上 作战 隆多先 发出 助攻 左臂 伤势 影响 发挥 ...
905,1,财经 融通 旗下 基金 通乾 分红 摆乌龙 封闭式 基金 板块 年度 大戏 分红 行情 摆乌龙 波折 融通 旗下 基金 通乾 公布 年度报告 基金 报告期 投资...
